Barcode	Cell ID	Cell Name	WellID	Sample	CompoundNo	CompoundConc	Signal	Modified	Created						
2012-10-24 17:46:33	1437	HCC-1954	M12	CRL	0	0	11080	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	M13	CRL	0	0	14456	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	M23	BL	0	0	56	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	M24	BL	0	0	28	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N01	BDR	0	0	5700	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N02	CRL	0	0	6540	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N12	CRL	0	0	7708	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N13	CRL	0	0	9000	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N23	BL	0	0	44	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	N24	BL	0	0	16	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O01	BDR	0	0	4308	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O02	CRL	0	0	8560	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O12	CRL	0	0	10972	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O13	CRL	0	0	5972	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O23	BL	0	0	52	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	O24	BL	0	0	8	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P01	BDR	0	0	2784	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P02	BDR	0	0	5788	2012-11-21 17:00:00	2012-11-21 17:00:00						
2012-10-24 17:46:33	1437	HCC-1954	P03	BDR	0	0	8368	2012-11-21 17:00:00	2012-11-21 17:00:00						
